#### EXPORT DONNEES METEO POUR "BISCARROSSE" (LAT/LON: 44.3946602/-1.164218)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-04-02,9,7,42,7,8,9,1.9,63,10,1020,88.875,9,2,2,353,353,353,0,2,6.4,météo défavorable,20:33:00,07:44:00,8
2022-04-03,9,3,18,3,8,9,0,77,10,1021,35,9,1,-1,113,113,119,0,3,10.3,météo très défavorable,20:34:00,07:43:00,5
2022-04-04,12,3,25,3,12,12,0,74,10,1024,7.625,12,5,-0,113,113,113,0,3,11.6,météo très défavorable,20:35:00,07:41:00,4
2022-04-05,11,5,9,5,10,11,0,68,10,1021,26.875,11,4,3,113,116,116,0,3,11.6,météo très défavorable,20:37:00,07:39:00,5
2022-04-06,12,9,21,10,11,12,1,90,8,1016,81,12,10,7,122,266,176,0,4,6.5,météo défavorable,20:38:00,07:37:00,10
2022-04-07,15,12,35,12,14,15,0.4,86,10,1015,77.375,15,10,9,353,119,116,0,3,9.1,météo défavorable,20:39:00,07:35:00,12
2022-04-08,15,12,42,12,15,13,0.3,81,9,1015,63.25,15,10,10,116,119,122,0,3,7.8,météo correcte,20:40:00,07:34:00,13
2022-04-09,14,9,21,9,13,13,0.4,74,10,1022,51.375,14,6,7,176,176,113,0,3,9.1,météo correcte,20:42:00,07:32:00,10
2022-04-10,18,7,24,7,15,18,0,72,10,1021,20.625,18,6,3,113,122,113,0,4,10.3,météo correcte,20:43:00,07:30:00,7
2022-04-11,23,12,27,12,21,22,0,76,9.875,1009,23.625,25,12,9,113,113,116,0,5,11.6,météo favorable,20:44:00,07:28:00,12
2022-04-12,17,13,15,13,15,17,0.7,81,8.75,1010,76.625,17,12,11,116,263,176,0,3,6.6,météo défavorable,20:45:00,07:27:00,13
2022-04-13,16,12,17,12,16,15,0.4,92,10,1019,50,16,12,11,176,113,116,0,3,11.6,météo correcte,20:46:00,07:25:00,13
2022-04-14,17,12,15,12,17,16,0,88,10,1022,25.75,17,13,12,113,113,116,0,4,11.6,météo correcte,20:48:00,07:23:00,13
2022-04-15,17,12,17,12,16,16,0,93,10,1024,16.5,17,13,11,113,113,113,0,4,11.6,météo correcte,20:49:00,07:21:00,12
2022-04-16,20,13,25,13,19,20,0,90,10,1024,5,20,15,12,113,113,113,0,5,11.6,météo favorable,20:50:00,07:20:00,13
2022-04-17,16,11,17,11,15,14,0,80,10,1022,29,16,11,10,113,113,122,0,4,10.4,météo correcte,20:51:00,07:18:00,13
2022-04-18,14,12,24,12,13,13,0.2,92,10,1022,59.125,14,11,10,116,176,116,0,3,9.1,météo correcte,20:53:00,07:16:00,13
2022-04-19,13,12,22,12,12,12,2.3,84,10,1017,88.375,13,10,9,119,353,353,0,4,6.7,météo défavorable,20:54:00,07:15:00,13
2022-04-20,13,10,28,10,12,12,0.9,70,10,1014,75.25,13,9,9,119,176,353,0,4,7.9,météo défavorable,20:55:00,07:13:00,10
2022-04-21,13,10,14,11,12,13,1.5,92,9,1007,70,13,11,10,116,353,353,0,4,6.7,météo défavorable,20:56:00,07:11:00,10
2022-04-22,17,9,17,9,17,14,1.1,90,8.875,1002,60.375,17,11,7,113,119,176,0,4,8,météo correcte,20:58:00,07:10:00,11
2022-04-23,13,11,43,12,11,12,8.3,88,8.875,1002,85.375,13,10,7,353,353,353,0,3,6.8,météo défavorable,20:59:00,07:08:00,13
2022-04-24,14,13,36,13,13,14,1.9,92,9.75,1011,76,14,12,10,353,353,176,0,3,9.9,météo défavorable,21:00:00,07:06:00,13
2022-04-25,15,12,13,12,15,15,0,89,10,1015,45.5,15,11,11,119,116,116,0,4,13.3,météo correcte,21:01:00,07:05:00,12
2022-04-26,21,10,14,10,19,21,0,71,10,1015,20.375,21,10,9,113,116,113,0,5,14,météo favorable,21:03:00,07:03:00,11
2022-04-27,15,14,14,14,15,14,0.8,92,8.875,1018,86.125,15,12,13,176,122,176,0,3,8.8,météo défavorable,21:04:00,07:02:00,14
2022-04-28,16,13,11,13,15,16,0.2,91,9,1023,63.625,16,12,13,116,116,116,0,3,12.2,météo correcte,21:05:00,07:00:00,13
2022-04-29,17,13,15,13,16,16,0,88,10,1026,8.5,17,13,13,113,113,113,0,5,14.5,météo correcte,21:06:00,06:59:00,14
2022-04-30,17,14,25,14,16,17,0,85,10,1024,49.75,17,13,15,122,113,113,0,4,14.5,météo correcte,21:08:00,06:57:00,15
2022-05-01,17,12,17,12,17,16,0,81,10,1022,16.125,17,11,12,113,113,113,0,5,14.5,météo correcte,21:09:00,06:56:00,13
2022-05-02,16,12,23,12,16,16,0,76,10,1018,47.75,16,11,11,116,113,116,0,3,13.4,météo correcte,21:10:00,06:54:00,13
2022-05-03,17,12,27,12,17,16,0.1,80,10,1017,38.25,17,12,11,116,116,176,0,5,13.4,météo correcte,21:11:00,06:53:00,13
2022-05-04,17,12,22,12,17,17,0,84,10,1022,25.125,17,12,12,116,116,113,0,5,14.5,météo correcte,21:12:00,06:51:00,13
2022-05-05,17,13,24,13,17,17,0,87,10,1026,27.375,17,12,13,113,116,113,0,5,13.4,météo correcte,21:14:00,06:50:00,14
2022-05-06,18,13,26,13,17,18,0,90,10,1027,16.25,18,14,13,116,113,113,0,5,14.5,météo favorable,21:15:00,06:49:00,14
2022-05-07,18,13,22,13,17,17,0,89,10,1026,25.125,18,13,12,113,116,113,0,5,13.4,météo favorable,21:16:00,06:47:00,14
2022-05-08,19,13,21,13,19,17,0,89,10,1024,14.625,19,13,13,113,113,113,0,5,14.5,météo favorable,21:17:00,06:46:00,14
2022-05-09,20,14,17,14,20,19,0,88,10,1024,12.5,20,14,14,113,113,113,0,5,14.5,météo favorable,21:18:00,06:45:00,15
2022-05-10,21,16,13,16,21,20,0,78,10,1022,28.5,24,15,16,113,113,113,0,5,12.4,météo favorable,21:20:00,06:43:00,17
2022-05-11,20,16,14,16,19,19,0.1,82,10,1019,22.25,20,14,16,113,116,113,0,5,13.4,météo favorable,21:21:00,06:42:00,16
2022-05-12,21,14,17,14,21,18,0.7,87,10,1021,49.375,21,15,14,113,116,176,0,5,11.4,météo favorable,21:22:00,06:41:00,15
2022-05-13,21,16,21,16,21,20,0.3,89,9.375,1022,46.5,24,16,16,119,113,176,0,4,13.5,météo favorable,21:23:00,06:40:00,16
2022-05-14,25,17,13,17,25,24,0.5,94,10,1019,32.5,26,17,17,113,113,113,0,5,13.5,météo favorable,21:24:00,06:39:00,18
2022-05-15,24,17,18,17,24,23,0.6,91,9.75,1015,31.75,26,17,17,113,113,200,0,5,13.5,météo favorable,21:25:00,06:37:00,17
2022-05-16,23,16,9,16,21,23,0,88,10,1019,19.875,25,15,16,113,113,113,0,6,14.5,météo favorable,21:27:00,06:36:00,17
2022-05-17,23,18,17,18,21,23,0,75,10,1020,7.375,25,18,18,113,113,113,0,6,14.5,météo favorable,21:28:00,06:35:00,19
2022-05-18,26,16,13,16,26,25,0.9,83,9.875,1020,24.25,27,17,16,113,113,116,0,6,13.5,météo idéale,21:29:00,06:34:00,17
2022-05-19,22,17,16,17,20,21,1.1,92,9.875,1022,38.625,25,17,17,176,113,113,0,4,13.5,météo favorable,21:30:00,06:33:00,17
2022-05-20,21,18,17,18,20,19,0,93,10,1023,35.375,24,18,18,116,116,122,0,5,13.5,météo favorable,21:31:00,06:32:00,20
2022-05-21,27,15,17,15,25,27,0,74,10,1025,25.375,28,18,15,113,119,113,0,6,13.5,météo correcte,21:32:00,06:31:00,16
2022-05-22,24,18,17,20,23,19,0.5,84,9.875,1012,54.25,25,18,20,116,113,200,0,6,12.5,météo favorable,21:33:00,06:30:00,22
2022-05-23,18,17,24,17,18,17,1.1,86,10,1013,89.625,18,16,17,176,176,176,0,4,9.4,météo défavorable,21:34:00,06:30:00,17
2022-05-24,17,15,22,15,16,17,1.2,66,9.875,1015,74.75,17,11,15,176,353,353,0,5,9.4,météo défavorable,21:35:00,06:29:00,16
2022-05-25,20,13,25,13,18,18,0.9,81,9.875,1025,57.875,20,12,12,353,176,116,0,4,13.5,météo correcte,21:36:00,06:28:00,15
2022-05-26,19,16,19,16,18,19,0.2,81,10,1027,59.375,19,14,16,176,122,113,0,4,12.5,météo correcte,21:37:00,06:27:00,16
2022-05-27,22,15,22,15,19,22,0,90,10,1027,20.25,24,17,15,113,113,113,0,5,13.5,météo favorable,21:38:00,06:26:00,15
2022-05-28,26,15,23,15,22,26,0,87,10,1023,8.375,26,14,15,113,113,113,0,6,14.5,météo idéale,21:39:00,06:26:00,16
2022-05-29,25,14,24,14,23,25,0,67,10,1015,0.125,25,13,12,113,113,113,0,6,14.5,météo favorable,21:40:00,06:25:00,15
2022-05-30,20,12,24,12,20,19,0,62,10,1011,25.375,20,11,10,122,113,113,0,5,14.5,météo favorable,21:41:00,06:24:00,13
2022-05-31,21,16,23,16,21,21,0,60,10,1015,34.875,21,14,16,116,116,113,0,5,14.5,météo favorable,21:41:00,06:24:00,16
2022-06-01,29,15,15,15,26,25,0.5,74,10,1016,41.5,30,17,14,176,113,113,0,6,13.5,météo favorable,21:42:00,06:23:00,16
2022-06-02,22,17,14,17,22,22,0.3,91,10,1014,29.375,25,17,17,113,113,113,0,5,13.5,météo favorable,21:43:00,06:23:00,18
2022-06-03,21,18,18,18,21,20,1.4,96,9.875,1015,50.125,24,17,18,353,113,386,0,4,12.5,météo favorable,21:44:00,06:22:00,18
2022-06-04,22,17,22,17,22,20,2.2,92,9,1017,48.875,25,18,17,113,113,176,0,4,12.5,météo favorable,21:45:00,06:22:00,17
2022-06-05,20,17,16,17,19,20,0.1,88,10,1022,44.875,20,17,17,116,116,116,0,4,13.5,météo favorable,21:45:00,06:21:00,17
